ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,BRANCH,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,STAGE
845872,FEMALE,A5,3205,KE,"NORMAL CLIENT","PERSONAL BANKING","PARKSIDE TOWERS BRANCH, NAIROBI",NO,PTP,"2021-02-24 12:11",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
845919,MALE,A5,2210,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,RESTRUCTURE,"2020-11-24 09:33",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",COLLECTION
846149,MALE,B9,3415,KE,"NORMAL CLIENT","PERSONAL BANKING","KISUMU BRANCH",NO,RESTRUCTURE,"2021-03-03 12:21",CALL,1,HP,"PERSONAL BANKING",B9,"BUSINESS BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
846220,FEMALE,B9,3430,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",NULL
846251,MALE,A5,3220,KE,"NORMAL CLIENT","PERSONAL BANKING","CITY CENTRE BRANCH",NO,PTP,"2021-04-16 14:30",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W e0D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
846333,MALE,A5,3220,KE,"NORMAL CLIENT","PERSONAL BANKING","GARDEN CITY MALL BRANCH, NAIROBI",NO,RESTRUCTURE,"2020-11-24 09:59",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",COLLECTION
846340,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","KISUMU BRANCH, KISUMU",NO,PTP,"2021-01-14 11:58",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"BUSINESS BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",NULL
846509,MALE,B9,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-09-24 11:54",CALL,2,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
846541,MALE,B9,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","KISUMU BRANCH",NO,PTP,"2021-05-10 10:20",CALL,NULL,HP,"PERSONAL BANKING",B9,"BUSINESS BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",COLLECTION
846583,MALE,A5,3220,KE,"NORMAL CLIENT","PERSONAL BANKING","NANYUKI BRANCH",NO,PTP,"2021-04-29 14:28:32",CALL,1,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
