ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,LOAN_BRANCH_CODE,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,LOAN_STAGE
195775,,,,,Active,,6,NO,Unreachable: Ringing no answer,2022-02-22 10:47:18,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
65916,,,,,Active,,9,NO,Unreachable: Out of reach,2022-02-22 10:49:49,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
281754,,,,,Active,,11,NO,NIP,2022-02-22 10:53:57,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,COLLECTION
118544,,,,,Active,,16,NO,Unreachable: Out of reach,2022-02-22 10:58:00,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,74,COLLECTION
92780,,,,,Active,,16,YES,PTP,2022-02-22 11:07:29,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,74,COLLECTION
247650,,,,,Active,,16,YES,PTP,2022-02-22 11:14:35,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,79,COLLECTION
247649,,,,,Active,,16,NO,Unreachable: Out of reach,2022-02-22 11:17:50,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,79,COLLECTION
92254,,,,,Active,,10,NO,NIP,2022-02-22 11:23:09,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
152726,,,,,Active,,9,NO,Unreachable: Out of Service,2022-02-22 11:27:56,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
221766,,,,,Active,,4,NO,Unreachable: Ringing no answer,2022-02-22 11:52:18,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
62530,,,,,Active,,16,NO,SIP,2022-02-22 11:53:58,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
62530,,,,,Active,,16,NO,Unwilling to Pay,2022-02-22 11:59:39,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
180003,,,,,Active,,3,YES,PTP,2022-02-22 12:07:07,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
250345,,,,,Active,,2,NO,NIP,2022-02-22 12:14:39,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
163338,,,,,Active,,9,YES,PTP,2022-02-22 12:16:40,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
195685,,,,,Active,,6,NO,NIP,2022-02-22 12:32:23,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,79,COLLECTION
189323,,,,,Active,,2,NO,Unreachable: Ringing no answer,2022-02-22 12:51:32,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,75,COLLECTION
169903,,,,,Active,,16,NO,Unwilling to Pay,2022-02-22 12:53:17,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
50442,,,,,Active,,6,NO,Unwilling to Pay,2022-02-22 13:00:27,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,79,COLLECTION
62149,,,,,Active,,16,YES,PTP,2022-02-22 14:53:44,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
